"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2022","1.1117","1.1203","1.1299","1.0816","290.39K","-0.73%"
"09/23/2022","1.1199","1.1449","1.1482","1.1183","246.78K","-2.12%"
"09/22/2022","1.1442","1.1453","1.1509","1.1413","272.48K","-0.07%"
"09/21/2022","1.1450","1.1413","1.1482","1.1400","219.81K","0.35%"
"09/20/2022","1.1410","1.1406","1.1466","1.1383","196.01K","0.06%"
"09/19/2022","1.1403","1.1398","1.1435","1.1375","160.21K","0.11%"
"09/16/2022","1.1390","1.1465","1.1480","1.1381","203.89K","-0.60%"
"09/15/2022","1.1459","1.1557","1.1576","1.1464","189.93K","-0.81%"
"09/14/2022","1.1552","1.1525","1.1596","1.1513","229.66K","0.25%"
"09/13/2022","1.1523","1.1545","1.1567","1.1464","205.85K","-0.16%"
"09/12/2022","1.1541","1.1549","1.1565","1.1462","159.25K","0.03%"
"09/09/2022","1.1537","1.1507","1.1551","1.1481","212.44K","0.30%"
"09/08/2022","1.1503","1.1529","1.1557","1.1475","225.34K","-0.17%"
"09/07/2022","1.1523","1.1631","1.1637","1.1504","220.48K","-0.86%"
"09/06/2022","1.1623","1.1599","1.1678","1.1593","265.04K","0.26%"
"09/05/2022","1.1593","1.1573","1.1609","1.1529","187.06K","0.29%"
"09/02/2022","1.1559","1.1607","1.1611","1.1521","192.30K","-0.40%"
"09/01/2022","1.1606","1.1560","1.1615","1.1530","228.28K","0.47%"
"08/31/2022","1.1552","1.1640","1.1672","1.1553","218.99K","-0.72%"
"08/30/2022","1.1636","1.1714","1.1739","1.1619","232.60K","-0.61%"
"08/29/2022","1.1708","1.1768","1.1784","1.1692","159.33K","-0.68%"
"08/26/2022","1.1788","1.1862","1.1870","1.1759","158.40K","-0.59%"
"08/25/2022","1.1858","1.1841","1.1874","1.1817","214.31K","0.18%"
"08/24/2022","1.1837","1.1868","1.1896","1.1822","178.86K","-0.24%"
"08/23/2022","1.1865","1.1833","1.1885","1.1825","209.07K","0.29%"
"08/22/2022","1.1831","1.1781","1.1859","1.1771","222.74K","0.42%"
"08/19/2022","1.1782","1.1823","1.1837","1.1745","214.98K","-0.33%"
"08/18/2022","1.1821","1.1834","1.1874","1.1809","216.14K","-0.08%"
"08/17/2022","1.1831","1.1890","1.1924","1.1831","214.78K","-0.46%"
"08/16/2022","1.1886","1.1864","1.1901","1.1846","186.03K","0.22%"
"08/15/2022","1.1860","1.1825","1.1881","1.1803","165.75K","0.34%"
"08/12/2022","1.1820","1.1832","1.1842","1.1773","222.87K","-0.11%"
"08/11/2022","1.1833","1.1873","1.1880","1.1803","223.03K","-0.29%"
"08/10/2022","1.1868","1.1825","1.1890","1.1804","253.67K","0.36%"
"08/09/2022","1.1826","1.1846","1.1867","1.1815","223.09K","-0.12%"
"08/08/2022","1.1840","1.1855","1.1894","1.1838","178.04K","-0.10%"
"08/05/2022","1.1852","1.1872","1.1893","1.1826","213.07K","-0.14%"
"08/04/2022","1.1869","1.1947","1.1970","1.1848","213.82K","-0.64%"
"08/03/2022","1.1945","1.1974","1.1991","1.1935","212.28K","-0.21%"
"08/02/2022","1.1970","1.1938","1.1993","1.1902","253.78K","0.32%"
"08/01/2022","1.1932","1.1903","1.1979","1.1900","216.11K","0.25%"
"07/29/2022","1.1902","1.1937","1.1951","1.1874","212.04K","-0.33%"
"07/28/2022","1.1942","1.1904","1.1985","1.1897","254.63K","0.30%"
"07/27/2022","1.1906","1.1889","1.1940","1.1865","192.35K","0.18%"
"07/26/2022","1.1885","1.1782","1.1901","1.1773","203.18K","0.91%"
"07/25/2022","1.1778","1.1755","1.1803","1.1726","204.52K","0.23%"
"07/22/2022","1.1751","1.1725","1.1787","1.1720","188.81K","0.26%"
"07/21/2022","1.1721","1.1761","1.1773","1.1642","244.49K","-0.30%"
"07/20/2022","1.1756","1.1730","1.1777","1.1701","227.49K","0.26%"
"07/19/2022","1.1725","1.1787","1.1799","1.1707","201.87K","-0.45%"
"07/18/2022","1.1778","1.1773","1.1826","1.1752","191.05K","0.28%"
"07/15/2022","1.1745","1.1803","1.1816","1.1740","207.80K","-0.45%"
"07/14/2022","1.1798","1.1818","1.1850","1.1756","233.48K","-0.13%"
"07/13/2022","1.1813","1.1840","1.1903","1.1805","219.65K","-0.19%"
"07/12/2022","1.1835","1.1844","1.1861","1.1784","221.65K","-0.03%"
"07/11/2022","1.1838","1.1810","1.1849","1.1776","201.23K","0.27%"
"07/08/2022","1.1806","1.1834","1.1851","1.1796","239.47K","-0.19%"
"07/07/2022","1.1828","1.1711","1.1843","1.1688","235.99K","1.02%"
"07/06/2022","1.1708","1.1646","1.1722","1.1622","254.74K","0.54%"
"07/05/2022","1.1645","1.1618","1.1708","1.1594","232.98K","0.28%"
"07/04/2022","1.1612","1.1607","1.1638","1.1589","182.36K","0.15%"
"07/01/2022","1.1595","1.1616","1.1624","1.1520","182.84K","-0.15%"
"06/30/2022","1.1612","1.1615","1.1698","1.1597","212.53K","0.01%"
"06/29/2022","1.1611","1.1583","1.1627","1.1543","231.22K","0.28%"
"06/28/2022","1.1579","1.1588","1.1616","1.1563","243.50K","-0.06%"
"06/27/2022","1.1586","1.1618","1.1659","1.1588","212.70K","-0.24%"
